X;Y;Z;DISTANCE;INTENSITY;POINT_ID;RETURN_ID;AMBIENT;TIMESTAMP
-1.096917271614074707e+00;2.410559415817260742e+00;-1.403168682008981705e-02;2.648437500000000000e+00;4.990000000000000000e+02;1.510000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320345600e+18
-1.092364430427551270e+00;2.356770992279052734e+00;-1.376078184694051743e-02;2.597656250000000000e+00;4.315000000000000000e+03;1.520000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320353280e+18
-1.105385422706604004e+00;2.342055797576904297e+00;-1.371666975319385529e-02;2.589843750000000000e+00;4.404000000000000000e+03;1.530000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320361216e+18
-1.130399584770202637e+00;2.351774692535400391e+00;-1.381731498986482620e-02;2.609375000000000000e+00;4.366000000000000000e+03;1.540000000000000000e+02;0.000000000000000000e+00;2.000000000000000000e+00;1.682415573320369152e+18
-1.150169610977172852e+00;2.350869655609130859e+00;-1.385592669248580933e-02;2.617187500000000000e+00;4.417000000000000000e+03;1.550000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320376832e+18
-1.170046925544738770e+00;2.349770784378051758e+00;-1.389048527926206589e-02;2.625000000000000000e+00;4.379000000000000000e+03;1.560000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320385024e+18
-1.186370491981506348e+00;2.341571331024169922e+00;-1.388257276266813278e-02;2.625000000000000000e+00;4.315000000000000000e+03;1.570000000000000000e+02;0.000000000000000000e+00;3.000000000000000000e+00;1.682415573320393216e+18
-1.199057340621948242e+00;2.326314926147460938e+00;-1.383336633443832397e-02;2.617187500000000000e+00;4.327000000000000000e+03;1.580000000000000000e+02;0.000000000000000000e+00;1.000000000000000000e+00;1.682415573320401408e+18
-1.215216994285583496e+00;2.317914247512817383e+00;-1.382547803223133087e-02;2.617187500000000000e+00;4.340000000000000000e+03;1.590000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320409344e+18
-1.226163744926452637e+00;2.298869609832763672e+00;-1.375233195722103119e-02;2.605468750000000000e+00;4.302000000000000000e+03;1.600000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320418048e+18
-1.238400578498840332e+00;2.283417224884033203e+00;-1.369962934404611588e-02;2.597656250000000000e+00;4.353000000000000000e+03;1.610000000000000000e+02;0.000000000000000000e+00;0.000000000000000000e+00;1.682415573320426752e+18
